,标题,总价格,单价,地段,小区,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,楼层高度,"
                                  ","
                                      ","
                              ",挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,别墅类型
28,商品房!好楼层！边套全明大一房！看房方便！不靠马路,220,39119,"['闵行', '航华']",航华二村信利苑,1室1厅1厨1卫,中楼层 (共6层),56.24㎡,平层,暂无数据,板楼,南,砖混结构,简装,暂无数据,无,暂无数据,无抵押,共有,已上传房本照片,202409560150,楼层好，是信利苑里面少有的商品房，只有这栋楼有地下室,业主为此房花了很多精力，看了几十套房选了这套，住进来也是好运连连，家庭美满，事业进步，。好户型+好装修+好家居+好视野+好位置+好交通+好运气，这些美好均可沟通留给买家。业主诚意方便看房，随时签约，期待遇见有缘人。,此房真的棒，纯边套全明户型，58平大一房，而且是边套客厅有东边的窗户早起客厅洒满阳光，金光如瀑给您带来一天的好心情。卧室有大阳台采光棒午后休憩很惬意，阳台完全无遮挡每天早上都在阳光中醒来，买大面积不如买一个一个好开窗！,此房产权清晰，产权人夫妻两人，意见一致，买进满五年，家庭名下不止一套，因此没有增值税，有个税，有契税，首套1%，二套3%，支持资金存管，支持链家交易风险防范的操作，让买家安心省心交易,小区环境很棒，已经做好美丽家园，路面墙面都很好看，都是一层两户的，密度低舒适度高，门口商铺齐全。沪青平公路71号跟地铁频次相当，线路沿着沪青平延安路可以直达外滩。十号线地铁一千米，自驾也是很方便，沪青平+延安高架+外环高架+嘉闵高架。,,
29,视野5敌；户型方正大三房；有钥匙随时看,465,38411,"['闵行', '华漕']",金色西郊城,3室2厅1厨2卫,高楼层 (共11层),121.06㎡,平层,暂无数据,板楼,南 北,钢混结构,毛坯,一梯两户,有,暂无数据,有抵押 200万元 贷款银行 客户偿还,共有,已上传房本照片,202408856801,次顶楼；飞机户型大三房；采光刺眼，视野5敌，有钥匙随时看房,小区是2007年的商品房，绿化35%以上，目前小区已经改造过，路面和停车位都要重新做过，小区自带步行街。,适合三房改善客户，三房两卫；或者想一次到位的客户，首套首付30%；毛坯可以直接装修,户型是三房两卫的飞机户型，主卧带套卫；三开间朝南，南北双阳台；户型方正的很,小区边自带步行街，吃喝玩乐一条街，小区旁边就是大型果蔬肉类综合批发市场，方圆4公里有：万达广场，龙湖天街，虹桥天地。6公里为国际医学，目前华山医院西院（3甲医院）永磁康复,纯纯大毛坯，清水大毛坯；不用拆旧直接装修；不用拆旧直接装修，,
30,新上！名都二期 不靠路 南北错通两房 好户型 带露台,530,56953,"['闵行', '莘庄南广场']",名都新城（一、二期）,2室2厅1厨1卫,低楼层 (共8层),93.06㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,一梯三户,有,暂无数据,无抵押,共有,已上传房本照片,202409669625,楼层好，带露台，可以养花，采光充足，配套设施齐全，交通便利,莘庄南广场的明星小区，小区绿化很好，自带湖景，和泰物业，门卫24小时在岗,商品房 2.满五年税费少 首套契税：1%，个税1%。增值税；0,双地铁（1号线和5号线莘庄站），门口有公交站牌，出小区门2公里内就是外环高架沪金高速入口，通往市区，交通方便,,,
31,满五，视野宽阔，采光好设施配套齐全交通便利,265,38540,"['闵行', '古美']",新梅花苑,2室1厅1厨1卫,高楼层 (共6层),68.76㎡,平层,暂无数据,板楼,南,砖混结构,精装,暂无数据,无,暂无数据,无抵押,共有,已上传房本照片,202308280839,满五，视野宽阔，采光好设施配套齐全交通便利,"小区介绍：
小区是1997年建成，位于外环以内，配套成熟，便利店，银行，菜场，地铁，公交200米",适合夫妻俩带小孩或者老人帮忙带孩子的，空间感充足。房间格局想象空间大,菜场：莘光菜场200米 商场：华联，南方商城，家乐福，仲盛，龙之梦 银行：建行，工商银行，浙商银行等,距离近的轨道交通是1号线外环路站，小区门口有704路，闵行1路，和古美环线，去徐家汇和莘庄龙之梦都十分方便,,
32,山钢旭辉里生活广场旁南北双厅两房，近地铁,220,27590,"['闵行', '闵浦']",瑞和城壹街区（汇延路199弄）,2室2厅1厨1卫,低楼层 (共18层),79.74㎡,平层,暂无数据,板楼,南 北,钢混结构,毛坯,暂无数据,暂无数据,暂无数据,无抵押,非共有,已上传房本照片,202409143033,此房满五年，一手动迁，南北通两房两厅格局好，小区花园位置,此房为南北两房两厅户型，在瑞和城板块属于比较稀，少的户型，通风效果比较好，二房东简单装修，布局更加合理了些，居住体验会更好点,房东卖房变现，因不住在这边，诚心售此房，目前空关，看房方便。,此小区旁边有浦江万达，山钢生活广场，距离万达直线距离仅300米，山钢生活广场200米，附，近有鲁汇卫生院距离大概2公里，仁济医院大概7公里，距离浦江郊野公园大概4公里，周末假日休闲好去处。,鲁南路浦星公路浦江19路，浦江3路直线200米，鲁南路汇雄路浦江2路内圈，浦江2路外圈直线200米，汇雄路汇延路772路，浦江3路，闵行20路直线200米，交通出行很方便。,,
33,花园般的小区，生活中夹带着自然的气息。,639,46725,"['闵行', '吴泾']",万科阳光苑,3室2厅1厨2卫,低楼层 (共11层),136.76㎡,平层,暂无数据,板楼,南 北,钢混结构,简装,一梯四户,有,暂无数据,有抵押,共有,已上传房本照片,202409560633,电梯大三房，花园般的感受，品质服务，附带小阳台。,万科阳光苑是2008年起开发的，直到2011年，都是商品房，内有多层，小高层，多层物业费1.78元;，小高层2.25元;，开发商是上海锦川房地产开发有限公司，物业公司上海万科物业管理有限公司，万科大品牌值得信懒。,老少皆宜，适合大家庭居住，房型方正，房间大，空间宽敞。商品房品质小区，环境好，物业管理完善。,万科大三房，空间分布合理，可适宜多种家庭居住，附加小阳台可以加以利用。,出小区往南走是永辉，大仓购，兰香湖。出小区就是中国银行，往北100米是农商银行和农业银行。西门门口就是公交站。莲花路有15号地铁线，龙吴路未来有23号地铁线，较近站点距离300米左右， 吴泾菜市场方便小区居民买菜。,交通比较方便，出小区100米就是178和178大站车的站台。小区东面公交：闵行5路，闵行7路，闵行15路，闵吴线，可做的公交线路还是很多的。还有轮渡到达浦江。莲花路有15号地铁线永德路站，目前23号线紫龙路（在建中）,
34,星河湾3期 2023年次新房统一装修 一口价诚意出售,1550,89163,"['闵行', '颛桥']",星河湾3号园,3室2厅1厨2卫,高楼层 (共31层),173.84㎡,平层,暂无数据,板楼,南,钢混结构,精装,两梯一户,有,暂无数据,无抵押,共有,已上传房本照片,202409327513,"房子彩光很好,户型很整齐的原始格局没有动过",房屋进门是南北客餐厅，北面厨房带一个阳台，南面客厅也是有一个较大阳台，卧室在客厅两侧形成飞机翅膀，主卧带一个独立卫生间，形成飞机户型。,商场：麦多广场（2公里）、龙盛广场（1公里），大润发（3公里）万达广场（3公里）好爱广场（2.5公里） 小区自带：生鲜，餐饮，奈尔宝，酒店，等 银行:中国银行，建设银行，农业银行（3公里内） 医院：瑞金医院，颛桥卫生院,装修现代轻奢风格，非??常赞，水刀切割的天然大理石拼花，厨卫是德国嘉格纳，地暖是德国威能，供水德国菲斯曼,高架： 嘉闵高架（4公里）S4沪金高速（0.5公里）虹梅南路高架（1.5公里） 地铁：5号线银都路站（2.5公里）15号线曙建路站（1.3公里） 1号线（莘庄站）3公里 公交：小区门口（金都路）公交，可到达莘庄。徐汇等,,
35,近地铁 正气双南 两卫全明  中间楼层 二期房龄新,608,60020,"['闵行', '莘庄南广场']",紫欣公寓,2室2厅1厨2卫,中楼层 (共16层),101.3㎡,平层,暂无数据,板楼,南,钢混结构,简装,两梯四户,有,暂无数据,无抵押,共有,已上传房本照片,202408899033,楼层好  视野宽阔，采光充足，配套设施齐全 交通便利,本小区是上海白玉兰花园小区，绿化好，有自己的小花园，安必胜物业管理，24小时安保，高素质人群居住，碧秀路闹中取静，很适宜居住。此房源为小区二期楼栋，2003年建，可以俯瞰新装绿地，到地铁站约300米范围，到莘庄仲盛和龙之梦商城约700-1000米,莘庄的交通条件和完善的生活配套，无论是个人看好莘庄板块的便利和上盖工程的发展空间，或是看重交通便利性，商 业配套的夫妻、家庭都很适合，需要乘坐地铁的 那是很便利的,小区距离莘庄的两个商场：凯德龙之梦和仲盛购物广场大约800米，248米就能到莘庄地铁站，地铁站目前在建天荟的大型综合体，里面包括商场和交通枢纽。900米可达复旦附属医院，二甲医院。门口商场齐全，购物方便。,小区的位置就在莘庄地铁站北广场，距离1/5号线莘庄地铁站200米，小区北面就是沪闵路，500米的车程可达沪闵高架，莘庄这边本身就是交通方便的板块，外环高速、S4沪金高速、G60沪昆高速、嘉闵高架、都可以快速切换，到上海的每个位置都很方便,,
36,日月华城 3室2厅 东,628,25699,"['闵行', '颛桥']",日月华城,3室2厅2厨1卫,低楼层 (共12层),244.37㎡,复式,暂无数据,板楼,东,钢混结构,精装,一梯两户,有,暂无数据,无抵押,共有,已上传房本照片,202409652020,,,,,,,
37,中老年人优选（三房两卫带50平花园）看房有钥匙,410,35690,"['闵行', '莘闵别墅']",上海康城,3室2厅1厨2卫,低楼层 (共15层),114.88㎡,平层,暂无数据,板楼,南,钢混结构,精装,两梯四户,有,暂无数据,无抵押,共有,已上传房本照片,202509684630,普通住房，交易仅1%契税，小三房大花园，看房有钥匙,开发商：上海闵行协和房地产经营有限公司。 物业：碧桂园-盛孚物业。 小区工分为四期，由六个道组成，共288栋楼，12500户。小区东侧美莘广场，南面浅水湾广场和巴比伦广场，有银行，酒店，饭店，理发店，健身等，西边有亚繁亚乐城—永辉等配套齐全,"1、动静分离，三房一线户型，两梯四户得房率82%,
2、两房朝南，一房朝东，客厅朝南带阳台，
3、花园50平，养花、养爱宠都方便，",售房原因:业主二手买进，现在卖房改善其他区域，房屋现状:空置状态，随时可以看房，业主随时可以签约 特殊要求:业主要求客户首付100万以上，,小区内有直达地铁的班车和公交车，南门是莘庄一路，北门是莘庄二路，康城班车是在小区里绕一圈然后直达莘庄1号线地铁站，南门凯旋门还有闵虹1线直达虹桥高铁站，嘉闵高架在东边，共享单车可以进出的，小区新增直达七莘路12号线地铁站班车。,,
38,中间楼层+位置好+近地铁+户型方正,288,42960,"['闵行', '老闵行']",沧源小区（沧源路770弄）,2室1厅1厨1卫,中楼层 (共6层),67.04㎡,平层,暂无数据,板楼,南,砖混结构,简装,暂无数据,无,暂无数据,无抵押,共有,已上传房本照片,202509718039,2房，总价低，采光无遮挡，视野开阔，必卖好房。,小区总共133栋，2071户。目前由上海宇东物业管理有限公司管理，物业费0.8，小区为租赁车位，月付100元/月，年付1000元/年。小区以自住为主，居住人群多是交大师生以及紫竹科技人才为主，人文素养高。,房子是两房朝南户型，采光好，前后都无遮挡，得房率比较高，客厅是有窗户的明厅,适合居住，老少皆宜，简单装修，菜场商场都有生活便利，带孩子自己居住都可以。,小区离欧尚商场近，还有大型购物广场龙湖天街，购物、吃饭、看电影、唱歌，一站式服务方便！中国银行、工商银行、建设银行等，为您生活提供便利！闵行公园等，空气清新、风景怡人，为您提供休闲场所！上海市第五人民院医院，方便快捷，为您提供医疗保障。,5号线东川路地铁站，门口有公交车站直达莘庄，虹桥枢纽4路直达虹桥火车站，亦有闵行26路可到浦江八号线地铁站。,
